search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,cta_text,link_url,start_date,stop_date,total_active_days,impressions_lower,impressions_upper,spend_lower,spend_upper,currency,page_likes,snapshot_url,collected_at
flash sale,1454105005634350,39DollarGlasses.com,168481729999,INACTIVE,INSTAGRAM,N/A,N/A,N/A,N/A,N/A,1756278000,1756364400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 05:06:20
Puma,1419255219695585,807garage-id3,101567606003334,ACTIVE,INSTAGRAM,N/A,N/A,N/A,N/A,N/A,1769155200,1775113200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 05:00:58
Puma,1379255590887002,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,N/A,N/A,N/A,N/A,N/A,1772524800,1775026800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 05:00:58
Puma,2175640773267937,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,N/A,N/A,N/A,N/A,N/A,1772179200,1775113200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 05:00:58
Puma,911204111566445,99notoutind,824362560769212,INACTIVE,INSTAGRAM,N/A,N/A,N/A,N/A,N/A,1768464000,1769760000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 05:00:58
Zara,1299383764973044,Ace Alliance,277336065473798,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",N/A,N/A,N/A,N/A,N/A,1759215600,1761289200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 05:04:01
Nike Indonesia,194468140391093,Adhy Sarphio,203245649532152,INACTIVE,"FACEBOOK, INSTAGRAM",N/A,N/A,N/A,N/A,N/A,1706688000,1706860800,N/A,N/A,N/A,N/A,N/A,IDR,N/A,N/A,2026-04-03 04:59:04
Nike Indonesia,1435171534081145,Adhy Sarphio,203245649532152,INACTIVE,"FACEBOOK, INSTAGRAM",N/A,N/A,N/A,N/A,N/A,1706256000,1706428800,N/A,N/A,N/A,N/A,N/A,IDR,N/A,N/A,2026-04-03 04:59:04
flash sale,461693866576185,AdvAdvertisements Home,331542593376133,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",N/A,N/A,N/A,N/A,N/A,1721199600,1744873200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 05:06:20
Adidas Indonesia,1607005587180027,Agora Mall,330509656807912,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP",N/A,N/A,N/A,N/A,N/A,1773730800,1775113200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-03 04:59:59
H&M Indonesia,341083160312556,Ahok for Indonesia,1639077443036965,INACTIVE,FACEBOOK,N/A,N/A,N/A,N/A,N/A,1602572400,1602658800,N/A,N/A,N/A,N/A,N/A,IDR,N/A,N/A,2026-04-03 05:05:05
