search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,caption,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,page_likes,collation_count,categories,targeted_countries,page_profile_url,collected_at
Puma,1379255590887002,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,CAROUSEL,N/A,  |  ,instagram.com,Visit Instagram profile,http://instagram.com/807garage.id,2026-03-03,2026-04-01,28,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,0.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61588416395016/,2026-04-02 18:36:33
Adidas,944520198259112,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,CAROUSEL,N/A,  |  ,instagram.com,Visit Instagram profile,http://instagram.com/807garage.id,2026-03-02,2026-04-01,29,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,0.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61588416395016/,2026-04-02 18:36:07
Puma,2175640773267937,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,CAROUSEL,N/A,  |  ,instagram.com,Visit Instagram profile,http://instagram.com/807garage.id,2026-02-27,2026-04-02,33,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,0.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61588416395016/,2026-04-02 18:36:33
H&M,783270871040370,ABA Bank,126242240741185,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",IMAGE,N/A,"អ្នកប្រើ ABA Mobile ទទួលបានអត្ថប្រយោជន៍បន្ថែម លើសពីមើលកុន! 🍿🥤
ទិញសំបុត្រកុន Legend Cinema ពីមុខងារ សេវាកម្ម ក្នុង ABA Mobile ដោយចំណាយចាប់ពី $9 អ្នកនឹងរីករាយជាមួយភេសជ្ជៈ − ទិញកែវតូច បានកែវកណ្ដាល!

នៅលើ",N/A,No button,N/A,2025-08-07,2025-12-04,119,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,2467244.0,1.0,UNKNOWN,N/A,https://www.facebook.com/ABA.Bank.Cambodia/,2026-04-02 18:37:56
flash sale,461693866576185,AdvAdvertisements Home,331542593376133,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},"🔥 Sillones, Muebles de Salón y Sofás Clásicos y Modernos de Alta Calidad a Precios de Outlet: ¡No podrás creer estos precios! 🤑 | Sofás sin vender 2023 🛋 : Todos los Tamaños y estilos de los Mejores D",advannunci.it,Learn more,https://advannunci.it/es/search/trends/living-room?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=6159645204&utm_term=sofa,2024-07-17,2025-04-17,274,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,22416.0,1.0,UNKNOWN,N/A,https://www.facebook.com/AdvAdvertisementsHome/,2026-04-02 18:38:22
H&M,1865475310731463,Akihabara Auctions,110364818266333,INACTIVE,"FACEBOOK, INSTAGRAM",IMAGE,"Akihabara Auctions / 秋葉原拍賣 – Japanese subculture auction / items; Animecel, Soft Vinyls, Sofubi, Sofvi, Figure, Trading cards, Tin toys, VintageToy, Vintage Jeans, Sofbi, 賽璐珞原畫, 軟膠, 搪膠, 動畫","◆ 5th Anniversary Special Auction ◆ [ 2-Day Event ] (#AnimeCel, #Genga, #Douga, #HANKEN)
- Free Participation | Accessible via Mobile/PC | Credit Card Payment Accepted | International Shipping Availab",akihabara-auctions.com,Learn more,https://akihabara-auctions.com/,2025-09-15,2025-09-30,15,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1637.0,1.0,UNKNOWN,N/A,https://www.facebook.com/JapanesePopCultureAuctions/,2026-04-02 18:37:56
flash sale,3753391578127481,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-25,2026-04-02,35,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013079.0,1.0,UNKNOWN,N/A,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 18:38:22
flash sale,1861614304497902,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-24,2026-04-02,36,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013079.0,2.0,UNKNOWN,N/A,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 18:38:22
diskon,744744845015965,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Punya smartphone baru tanpa keluar uang di awal. Cicilan ringan.😍,DP Rp0 + Gratis Ongkir + Diskon Tambahan! Periode terbatas. Jangan lewatkan!⏰,play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-30,2026-04-02,61,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013079.0,1.0,UNKNOWN,N/A,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 18:38:47
H&M,1431217684824277,AliExpress,335963307560,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.name}}{{product.current_price strip_zeros}},"🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale! | 🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale!",play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd,2025-08-05,2025-09-03,29,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,42051493.0,,UNKNOWN,N/A,https://www.facebook.com/AliExpress/,2026-04-02 18:37:56
H&M,4239787386244061,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.description}},Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy great profits on global product sourcing and choose from world's largest supplier base.,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-09-10,2026-03-01,172,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
H&M,1113519794304181,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.description}},get latest price💝Enjoy great profits on global product sourcing and choose from world's largest supplier base. | get latest price💝Enjoy great profits on global product sourcing and choose from world's,m.alibaba.com,Learn more,https://m.alibaba.com/?src=cpm_fb,2025-09-01,2026-03-14,194,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
H&M,23948759321387006,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.description}},Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy great profits on global product sourcing and choose from world's largest supplier base.,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-06-19,2026-04-01,286,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
H&M,1424789748974798,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}},Enjoy great profits on global product sourcing and choose from one of the world's leading B2B ecommerce platforms. | Enjoy great profits on global product sourcing and choose from one of the world's l,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-06-10,2025-07-10,30,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
H&M,728917532997988,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}},Enjoy great profits on global product sourcing and choose from one of the world's leading B2B ecommerce platforms. | Enjoy great profits on global product sourcing and choose from one of the world's l,m.alibaba.com,Shop now,https://m.alibaba.com/?src=cpm_fb,2025-06-10,2025-07-10,30,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
H&M,1171890127678273,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.description}},"get latest price Download the world's leading B2B App to shop millions of products, find worldwide suppliers, and get exclusive in-app discounts! | get latest price Download the world's leading B2B Ap",play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.alibaba.intl.android.apps.poseidon,2025-03-14,2025-06-18,96,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
H&M,1700262493920277,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}},Source Construction & Real Estate on Alibaba.com. Alibaba.com-World's Leading B2B Marketplace. | Source Construction & Real Estate on Alibaba.com. Alibaba.com-World's Leading B2B Marketplace.,m.alibaba.com,Learn more,https://m.alibaba.com/lp/group?group_id=57&src=cpm_fb&sub_channel=dpa&link_type=campaign&cid=13,2025-02-14,2025-06-26,131,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
H&M,1352946009002105,Alibaba.com,22437985072,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",DPA,{{product.name}}  from {{product.price strip_zeros}},Enjoy great profits on global product sourcing and choose from world's largest supplier base. | Enjoy great profits on global product sourcing and choose from world's largest supplier base.,www.alibaba.com,Learn more,https://m.alibaba.com/?src=cpm_fb&account=DPA&biz=ggs_app&traffic_type=directWake&cpm_fb_param=1&extra=ggs_app,2024-11-21,2025-04-15,144,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,28838083.0,,UNKNOWN,N/A,https://www.facebook.com/Alibaba.comGlobal/,2026-04-02 18:37:56
flash sale,1503129340477875,All You Can Trend Worldwide,136687399530652,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},📣 Warehouse Deals 📣 Best Espresso Machines on Sale up to -70%. 👀👇 Items in stock 😴 ⏰ ⤵️ | 👀  ☕️ Unsold Coffee Machines 2022  : All categories and models of the top brands are on sale with up to 70% di,allyoucantrend.appliances,Learn more,https://allyoucantrend.com/en/search/trends/tech-store/?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=5355276874&utm_term=small-appliances,2023-12-20,2025-10-15,664,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,6858.0,1.0,UNKNOWN,N/A,https://www.facebook.com/AllYouCanTrendWorldwide/,2026-04-02 18:38:22
flash sale,1229290988944814,Alpha books,619405714597198,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",VIDEO,🔞Attention! Do not read in public！👉,"I've been in love with my best friend, Finn Hartley, since we met in college ten years ago.
It's not like I'll ever tell him I have feelings for him. I know he doesn't see me that way. He probably won",redtgb.com,Learn more,https://redtgb.com/market/goodnovel/1?lpid=24282&utm_campaign={{campaign.name}}&utm_content={{campaign.id}}&adset_name={{adset.name}}&adset_id={{adset.id}}&ad_id={{ad.id}}&ad_name={{ad.name}}&placement={{placement}},2025-07-10,2025-08-09,30,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,16990.0,2.0,UNKNOWN,N/A,https://www.facebook.com/61577090219926/,2026-04-02 18:38:22
Adidas,750828224110419,Altcoin Signals,105487068535866,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},"Join today | Women's casual sneakers with a clean look
LIGHTWEIGHT COMFORT: Synthetic upper for durability and light weight
TWO-LAYER SOCKLINER: Cloudfoam Comfort sockliner is ultra-soft and plush, wi",amazon.com,Learn more,https://www.amazon.com/adidas-Womens-Tennis-Platin-Metallic/dp/B0CMGRZDYQ/ref=sr_1_40?crid=1NBTR8YGQFW3H&dib=eyJ2IjoiMSJ9.qsccUHcmUx13jLApMe2upHXIWmHr2HAleExNGQA8IYIWtP13VZEWSQ_VEOhI02thcJDXTKM33zB4hxMiCKrBcNBpcUtaiEr4PZ2_KbaDLyFKVEmzGLHPC2uk-3xeeawxAHUEWhafGkB1Ip0T95uzK1e2RQnw0UB7Bpnnt6NoobpwdCG2OL5DhA8vjvt2yCIMz760F5hz5a3JUlzcxBptsUmG1mfo9u3WiVmRB2W4ET_E-VR7Auz7EsI83CLr2CANOrkxf4ojG1dgTbTDBla0X5DmIooMxUO7PInLjgK3cKaMmNEElo4ffYYK5mXYhwLs-GLE0IQy61yOIY8EGFDr05zDhwliMfXF5x1dXBEuRZVgFkb4QctZDkeHlRFGHabPf_tvLtPu69Dun1gtIh1zQ5M-twnapJWjkNnQyNopySH7XJgdkCy6Od5dwmWCaWE9.DNWr4zvoh8JIJDB0ozvSUYLgQrrDfpCSasfFhqWOR7I&dib_tag=se&keywords=sneakers&qid=1743494016&sprefix=sneakers%2Caps%2C293&sr=8-40&xpid=S1FB5FzGkdri2&th=1,2025-07-14,2025-08-08,25,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,2512.0,4.0,UNKNOWN,N/A,https://www.facebook.com/100090901580808/,2026-04-02 18:36:07
Adidas,10096244917160164,Altcoin Signals,105487068535866,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},"Join today | Women's casual sneakers with a clean look
LIGHTWEIGHT COMFORT: Synthetic upper for durability and light weight
TWO-LAYER SOCKLINER: Cloudfoam Comfort sockliner is ultra-soft and plush, wi",amazon.com,Learn more,https://www.amazon.com/adidas-Womens-Tennis-Platin-Metallic/dp/B0CMGRZDYQ/ref=sr_1_40?crid=1NBTR8YGQFW3H&dib=eyJ2IjoiMSJ9.qsccUHcmUx13jLApMe2upHXIWmHr2HAleExNGQA8IYIWtP13VZEWSQ_VEOhI02thcJDXTKM33zB4hxMiCKrBcNBpcUtaiEr4PZ2_KbaDLyFKVEmzGLHPC2uk-3xeeawxAHUEWhafGkB1Ip0T95uzK1e2RQnw0UB7Bpnnt6NoobpwdCG2OL5DhA8vjvt2yCIMz760F5hz5a3JUlzcxBptsUmG1mfo9u3WiVmRB2W4ET_E-VR7Auz7EsI83CLr2CANOrkxf4ojG1dgTbTDBla0X5DmIooMxUO7PInLjgK3cKaMmNEElo4ffYYK5mXYhwLs-GLE0IQy61yOIY8EGFDr05zDhwliMfXF5x1dXBEuRZVgFkb4QctZDkeHlRFGHabPf_tvLtPu69Dun1gtIh1zQ5M-twnapJWjkNnQyNopySH7XJgdkCy6Od5dwmWCaWE9.DNWr4zvoh8JIJDB0ozvSUYLgQrrDfpCSasfFhqWOR7I&dib_tag=se&keywords=sneakers&qid=1743494016&sprefix=sneakers%2Caps%2C293&sr=8-40&xpid=S1FB5FzGkdri2&th=1,2025-07-07,2025-08-08,32,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,2512.0,4.0,UNKNOWN,N/A,https://www.facebook.com/100090901580808/,2026-04-02 18:36:07
Adidas,1225654718939692,Aly Mazhar,769632029754541,INACTIVE,INSTAGRAM,CAROUSEL,N/A,  |  ,N/A,Send message,N/A,2025-06-04,2025-06-05,1,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,538354.0,1.0,UNKNOWN,N/A,https://www.facebook.com/alymazharbefit/,2026-04-02 18:36:07
H&M,1055352206248470,Ammie Bouwman - For His Glory Ministry,940627722725768,INACTIVE,FACEBOOK,IMAGE,Ammie Bouwman - For His Glory Ministry,"Join Reverend Ammie Bouwman for daily devotions, teachings, Bible Study, and Church Online!",facebook.com,Like Page,https://facebook.com/ammiebouwman,2024-09-15,2025-05-25,252,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,817287.0,1.0,UNKNOWN,N/A,https://www.facebook.com/ammiebouwman/,2026-04-02 18:37:56
Puma,1424706085393046,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-06-24,2025-09-03,71,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36853.0,,UNKNOWN,N/A,https://www.facebook.com/Apps4styleShoes/,2026-04-02 18:36:33
Puma,686678890982497,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-05-08,2025-06-24,47,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36853.0,,UNKNOWN,N/A,https://www.facebook.com/Apps4styleShoes/,2026-04-02 18:36:33
Puma,633032562901124,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-03-10,2025-04-21,42,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36853.0,,UNKNOWN,N/A,https://www.facebook.com/Apps4styleShoes/,2026-04-02 18:36:33
Puma,1662532227705650,Apps4Style - Shoes,304852989388606,INACTIVE,"FACEBOOK, INSTAGRAM",DPA,Grab Yours!✨,👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️ | 👠 Step Up Your Style: Luxury Shoes for Every Occasion – Explore Now! ✨🛍️,go.apps4style.com,Shop now,https://go.apps4style.com/moreshoes?s2=lyst,2025-02-16,2025-04-17,59,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36853.0,,UNKNOWN,N/A,https://www.facebook.com/Apps4styleShoes/,2026-04-02 18:36:33
flash sale,2553209271740661,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: ENJOY 60% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and ",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2026-02-10,2026-03-20,37,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13710.0,,UNKNOWN,N/A,https://www.facebook.com/61556071936252/,2026-04-02 18:38:22
flash sale,885467100693391,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: ENJOY 60% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and ",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2026-01-14,2026-02-11,28,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13710.0,,UNKNOWN,N/A,https://www.facebook.com/61556071936252/,2026-04-02 18:38:22
flash sale,2094699040934830,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: 50% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and a wide",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2025-11-14,2026-01-14,61,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13710.0,,UNKNOWN,N/A,https://www.facebook.com/61556071936252/,2026-04-02 18:38:22
flash sale,1389899816056080,Bandify,254807741040121,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DPA,{{product.name}},"🌟 Flash Sale: 50% OFF All Apple Watch Straps & Cases! 🌟 Enjoy free worldwide shipping on all orders. Bandify's premium straps offer the perfect style upgrade, combining comfort, durability, and a wide",bandify.com.au,Shop now,https://bandify.com.au/collections/best-selling,2025-06-10,2025-08-26,77,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,13710.0,,UNKNOWN,N/A,https://www.facebook.com/61556071936252/,2026-04-02 18:38:22
Uniqlo,857529710656197,Bandoru Malaysia,127547487099707,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",VIDEO,Bundle Dari Jepun,"Bandoru, bersebelahan dengan Shell Federal Highway menyediakan pelbagai jenis pakaian bundle dari Jepun dengan kualiti yang mantap!

Macam-macam ada, harga pun murah-murah je 😉

Cuba datang selam dulu",www.bandoru.com,Learn more,https://www.bandoru.com/shah-alam,2026-02-15,2026-04-02,45,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,36531.0,,UNKNOWN,N/A,https://www.facebook.com/61550692686058/,2026-04-02 18:36:58
Nike,761986186203855,Bert enchères,1761262697521359,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",VIDEO,VENTE AUX ENCHERES EN LIGNE AVEC LIVRAISON,"Samedi 9 août 2025 à 14h00
VENTE AUX ENCHÈRES EN LIGNE AVEC LIVRAISON

En direct sur BertEncheres-Live.com

https://bertencheres-live.com/encheres/single/vente-aux-encheres-en-ligne-avec-livraison-176",bertencheres-live.com,Shop now,https://bertencheres-live.com/encheres/single/vente-aux-encheres-en-ligne-avec-livraison-176a5444abc43cac7af5a99a303de8b2054e212f-1078,2025-08-09,2025-08-10,1,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1032496.0,1.0,UNKNOWN,N/A,https://www.facebook.com/Bertencheres/,2026-04-02 18:35:41
Adidas,1998638131073078,Blibli.com,182826235081589,ACTIVE,"INSTAGRAM, THREADS",DPA,{{product.name}},N/A,https://www.blibli.com/p/adidas-men-running-tank-t...,Shop now,https://www.blibli.com/p/adidas-men-running-tank-top-otr-b-baju-lari-pria-jc9815/ps--ADS-12698-15686?utm_source=instagram&utm_medium=social-ads&utm_campaign=SMD_SPO_POVBawaanMudik_AON_25Mar_igads+,2026-03-25,2026-04-02,8,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,8407307.0,,UNKNOWN,N/A,https://www.facebook.com/bliblidotcom/,2026-04-02 18:36:07
Nike,1971563657042822,Blibli.com,182826235081589,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",DPA,{{product.name}},"Nike, On Running, Adidas, Puma, Asics Semua Lengkap di Blibli. Stock Terbatas, Free Return Guarantee | Nike, On Running, Adidas, Puma, Asics Semua Lengkap di Blibli. Stock Terbatas, Free Return Guaran",blibli.com,Shop now,https://www.blibli.com/cari/lari,2026-03-11,2026-04-02,22,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,8407307.0,,UNKNOWN,N/A,https://www.facebook.com/bliblidotcom/,2026-04-02 18:35:41
Puma,1971563657042822,Blibli.com,182826235081589,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",DPA,{{product.name}},"Nike, On Running, Adidas, Puma, Asics Semua Lengkap di Blibli. Stock Terbatas, Free Return Guarantee | Nike, On Running, Adidas, Puma, Asics Semua Lengkap di Blibli. Stock Terbatas, Free Return Guaran",blibli.com,Shop now,https://www.blibli.com/cari/lari,2026-03-11,2026-04-02,22,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,8407307.0,,UNKNOWN,N/A,https://www.facebook.com/bliblidotcom/,2026-04-02 18:36:33
diskon,897101116147827,BookCabin,799697136558606,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},Dapatkan diskon hingga 8% untuk pengguna baru. Pesan tiket pertama lebih hemat! ✈️ | Baru pertama pesan? Nikmati 5% off tiket pesawat untuk pengguna baru. ✈️,https://www.bookcabin.com,Book now,https://www.bookcabin.com/,2026-01-27,2026-04-02,64,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,440.0,5.0,UNKNOWN,N/A,https://www.facebook.com/61581189363897/,2026-04-02 18:38:47
Puma,1610265940332223,Borussia Dortmund,134904013188254,INACTIVE,INSTAGRAM,VIDEO,N/A,"👀 𝐁𝐋𝐈𝐍𝐃 𝐑𝐀𝐍𝐊𝐈𝐍𝐆 @puma athletes with Schlotti, Niki and Greg 🧐📊

🤝 @puma.de",N/A,N/A,N/A,2026-01-08,2026-01-10,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,16837096.0,,UNKNOWN,N/A,https://www.facebook.com/BVB/,2026-04-02 18:36:33
diskon,1316393086653842,BrainAcademy.id,2374310952846624,ACTIVE,INSTAGRAM,DCO,N/A,"LAGI CARI BIMBEL PERSIAPAN MASUK PTN?

BRAIN ACADEMY ONLINE BISA JADI TEMAN BELAJAR KAMU DENGAN FASILITAS TERLENGKAP 😍
🚀✨🤩

✅ Belajar online langsung bareng Master Teacher
✅ Sesi Tutor eksklusif
✅ Sha",brainacademy.id,Learn more,https://www.brainacademy.id/,2026-01-26,2026-04-02,65,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,7642.0,1.0,UNKNOWN,N/A,https://www.facebook.com/brainacademy.id/,2026-04-02 18:38:47
Nike,1964496437446111,Brighton & Hove Albion FC,95602073138,INACTIVE,"FACEBOOK, INSTAGRAM",CAROUSEL,Brighton & Hove Albion FC,  |  ,shop.brightonandhovealbion.com,Shop now,https://shop.brightonandhovealbion.com/sale/shop-all-sale/?utm_source=paidads&utm_medium=retail&utm_campaign=wintersale,2025-12-24,2026-01-03,10,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,2283819.0,3.0,UNKNOWN,N/A,https://www.facebook.com/officialbhafc/,2026-04-02 18:35:41
Nike,31486842027598207,Business Explained,105964635528739,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Instant PDF Download,"We break down 20+ proven sales strategies – including SPIN Selling, The Challenger Sale, and Value-Based Selling – and teach you how to implement them effectively.

Table of Content:

1. Introduction ",business-explained.com,Shop now,https://business-explained.com/shop/sales-strategies-explained/,2025-09-03,2026-04-02,211,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,42054.0,1.0,UNKNOWN,N/A,https://www.facebook.com/letsexplainbusiness/,2026-04-02 18:35:41
